Country,Country Code,Region,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Sint Maarten (Dutch part),534,America - Caribbean,1490,1662,1797,1913,2007,2112,2210,2321,2460,2624,2833,3077,3367,3703,4063,4460,4895,5362,5857,6354,6854,7372,7892,8429,8977,9556,10147,10791,11481,12244,13097,14030,15032,16175,17517,19127,21028,23157,25334,27280,28814,29852,30458,30765,30950,31164,31434,31731,32043,32321,32564,32782,32990,33195,33342,33436,33452,33406,33424,33650,34166,35050,36238,37580,38872,39967,40812,41444,41936,42389,42882
Slovakia,703,Europe - Eastern,3436576,3510922,3587655,3664913,3741206,3815396,3886744,3954855,4019642,4081313,4140128,4196169,4249208,4298590,4343459,4383446,4418201,4448551,4476829,4506152,4538843,4575562,4615834,4659278,4705102,4752537,4801740,4852494,4903206,4951789,4996730,5037339,5073882,5106983,5137690,5166787,5194302,5219967,5244036,5266805,5288455,5309229,5329029,5347212,5362894,5375470,5384792,5391202,5395253,5397709,5399207,5399995,5400124,5399844,5399374,5398962,5398674,5398693,5399362,5401149,5404293,5408932,5414894,5421721,5428798,5435614,5442001,5447903,5453017,5457012,5459643
Slovenia,705,Europe - Southern,1473093,1481629,1491677,1502835,1514790,1527207,1539788,1552256,1564362,1575868,1586628,1596554,1605640,1614019,1621886,1629439,1636661,1643695,1651090,1659562,1669584,1681432,1694979,1709978,1725971,1742621,1759721,1777315,1795643,1815106,1835842,1857851,1880707,1903548,1925312,1945129,1962870,1978498,1991387,2000832,2006404,2007780,2005352,2000560,1995326,1991126,1988580,1987457,1987384,1987625,1987710,1987457,1987265,1987855,1990226,1994979,2002427,2012128,2023049,2033807,2043336,2051278,2057826,2063120,2067488,2071199,2074205,2076395,2077836,2078654,2078932
Solomon Islands,90,Oceania - Melanesia,89793,91790,94059,96539,99191,102001,104935,107986,111157,114436,117847,121385,125040,128838,132766,136815,140995,145319,149887,154830,160240,166163,172550,179306,186297,193401,200602,207885,215299,222841,230550,238423,246451,254566,262691,270787,278834,286871,294976,303272,311869,320781,330004,339501,349273,359276,369517,379998,390702,401592,412665,423949,435434,447016,458549,469918,481086,492133,503366,515182,527861,541522,556066,571329,587079,603133,619438,636030,652856,669821,686878
Somalia,706,Africa - Eastern,2264076,2307679,2351943,2397188,2443647,2491543,2541019,2592154,2645028,2699620,2755967,2814125,2874215,2936478,3001160,3068465,3143654,3227835,3312735,3386736,3444569,3472357,3479792,3512626,3632986,3880285,4278974,4802134,5375018,5892763,6281138,6511115,6608040,6618594,6614713,6648628,6736751,6862267,7005226,7133263,7225089,7274026,7295380,7315864,7372592,7491647,7682683,7936122,8235064,8553595,8872250,9186719,9501335,9815412,10130251,10446856,10763904,11080122,11397188,11717691,12043886,12376305,12715487,13063711,13423571,13797204,14185635,14589165,15008225,15442906,15893219
South Africa,710,Africa - Southern,13628434,13921934,14226257,14541560,14868163,15206501,15557198,15921020,16298795,16691451,17099836,17524533,17965733,18423157,18896303,19384838,19888259,20406863,20942147,21496075,22069783,22665265,23281517,23913090,24552540,25195184,25836890,26480915,27138966,27827325,28556771,29333095,30150448,30993762,31841588,32678876,33495956,34297727,35100905,35930056,36800507,37718952,38672611,39633754,40564061,41435761,42241007,42987456,43682259,44338551,44967713,45571272,46150913,46719203,47291610,47880595,48489464,49119766,49779472,50477013,51216967,52003759,52832659,53687125,54544184,55386369,56207649,57009751,57792520,58558267,59308690
South Sudan,728,Africa - Eastern,2482306,2501570,2525204,2552932,2584512,2619718,2658300,2700075,2744848,2792443,2842718,2895609,2951041,3009061,3069735,3133155,3199348,3268392,3340426,3415572,3494011,3575896,3661442,3750780,3844094,3941613,4041792,4144552,4253085,4371711,4502603,4646478,4799435,4953154,5096478,5220748,5328167,5419808,5485288,5511582,5492620,5420179,5305449,5185712,5111371,5118084,5221925,5411653,5661934,5933884,6199396,6447791,6688225,6935665,7213354,7535931,7907407,8315144,8736932,9142258,9508372,9830695,10113648,10355030,10554882,10715657,10832520,10910774,10975924,11062114,11193729
Spain,724,Europe - Southern,28069734,28219620,28399033,28600360,28818012,29048392,29290079,29543626,29811311,30096577,30402413,30729650,31075475,31432768,31791938,32146255,32491643,32830181,33168777,33517677,33883749,34267463,34664234,35069433,35476435,35879210,36276748,36666770,37040401,37386810,37698200,37971968,38209686,38413300,38586704,38733866,38855631,38954490,39038686,39118555,39202524,39299081,39410852,39533726,39660079,39787413,39908962,40035286,40201561,40454472,40824745,41319431,41919593,42596455,43308345,44019118,44728561,45429071,46068811,46583566,46931011,47084242,47063059,46930554,46777927,46671919,46634131,46647425,46692863,46736782,46754783
Sri Lanka,144,Asia - Southern,7971098,8108428,8256559,8417112,8591021,8778441,8978765,9190652,9412139,9640820,9874476,10111639,10352180,10597516,10849977,11110825,11380665,11657650,11937607,12214948,12485736,12747831,13002234,13252033,13501931,13755141,14012894,14273495,14533691,14788866,15035840,15272822,15501210,15724641,15948501,16176282,16408861,16643956,16878186,17106752,17325769,17535732,17736827,17924827,18094474,18242917,18367290,18470897,18564595,18663293,18777606,18911727,19062476,19224036,19387153,19544988,19695977,19842044,19983984,20123508,20261738,20398496,20532599,20663053,20788512,20908024,21021177,21128028,21228760,21323734,21413250
State of Palestine,275,Asia - Western,931925,923891,932068,948892,968699,987751,1004288,1018477,1032101,1048133,1069318,1096752,1128577,1159400,1181893,1191381,1184969,1165752,1142224,1126372,1126628,1146321,1182426,1229370,1278559,1323805,1363618,1400121,1434992,1471138,1510717,1554190,1600956,1650926,1703808,1759533,1817981,1879750,1946376,2019825,2101445,2191000,2287676,2391399,2501973,2618671,2742534,2872006,3000624,3119868,3224009,3309908,3380161,3441868,3505320,3577956,3662421,3756459,3856692,3957684,4055632,4149654,4241572,4333521,4428634,4529160,4635644,4747233,4862978,4981422,5101416
Sudan,729,Africa - Northern,5733789,5884651,6041332,6204099,6373314,6549294,6732439,6923115,7121738,7328726,7544498,7769475,8004122,8248818,8503989,8770094,9047803,9337662,9639846,9954411,10281695,10621471,10974626,11343923,11732957,12144128,12578398,13034631,13510429,14002302,14507466,15027254,15562129,16107613,16657956,17210182,17757494,18303430,18867559,19476653,20147592,20891442,21696240,22527837,23338465,24094741,24782384,25413912,26015518,26626512,27275019,27971077,28704786,29460517,30214189,30949514,31661824,32360619,33060844,33783779,34545014,35349676,36193781,37072555,37977657,38902948,39847433,40813398,41801532,42813237,43849269
Suriname,740,America - South,214996,222451,229211,235693,242211,249002,256180,263756,271673,279761,287870,295913,303894,311945,320267,328939,338155,347673,356551,363574,367926,369230,367907,364907,361665,359234,357949,357649,358103,358826,359531,360144,360927,362282,364722,368636,374133,381033,388877,397082,405169,413009,420658,428028,435099,441851,448207,454165,459838,465380,470944,476574,482228,487938,493680,499461,505292,511181,517122,523113,529126,535177,541247,547295,553278,559136,564883,570501,575987,581363,586634
Sweden,752,Europe - Northern,7009913,7073227,7127517,7175673,7220064,7262625,7304770,7347475,7391243,7436260,7482536,7530183,7579570,7631453,7686735,7745678,7809085,7875902,7942311,8003186,8054909,8095798,8127045,8151598,8173961,8197341,8223247,8250692,8277422,8299996,8316331,8325493,8329428,8332441,8340444,8357650,8384987,8421056,8464790,8514204,8567375,8625140,8686735,8746770,8798235,8836421,8859180,8868857,8870854,8873105,8881642,8897802,8920703,8951439,8990653,9038627,9096170,9162941,9236433,9313085,9390157,9466705,9542817,9618016,9692137,9764949,9836003,9904895,9971630,10036391,10099270
Switzerland,756,Europe - Western,4668089,4721916,4781123,4841507,4900462,4957070,5012094,5067973,5128443,5198063,5280683,5377764,5487049,5601812,5712708,5812844,5899478,5973940,6038328,6096427,6150848,6202951,6251286,6292538,6322006,6337031,6335977,6321816,6302042,6286910,6283833,6295921,6321409,6356743,6396144,6435424,6473047,6510593,6550730,6597360,6652873,6718818,6792906,6868937,6938407,6995519,7038027,7068503,7091775,7115031,7143764,7179174,7220378,7268363,7323728,7386818,7457961,7536986,7622826,7713902,7808674,7906988,8008006,8108876,8206003,8296775,8379915,8455797,8525614,8591361,8654618
Syrian Arab Republic,760,Asia - Western,3413325,3498531,3591003,3690734,3797636,3911497,4032068,4158978,4291811,4430101,4573514,4721893,4875429,5034639,5200341,5373137,5553247,5740702,5935850,6139054,6350544,6570859,6800148,7037860,7283181,7535715,7794658,8060652,8336421,8625693,8930776,9252854,9590226,9938852,10293048,10648633,11004273,11360848,11719064,12080439,12446168,12815400,13187669,13565074,13950486,14345491,14754148,15175308,15599588,16013992,16410847,16766555,17084628,17415214,17827827,18361178,19059257,19878257,20664037,21205873,21362541,21081814,20438861,19578466,18710711,17997411,17465567,17095669,16945062,17070132,17500657
Tajikistan,762,Asia - Central,1531507,1584995,1637950,1690341,1742345,1794416,1847251,1901776,1959137,2020558,2087053,2159134,2236564,2318252,2402473,2487975,2574506,2662257,2750932,2840265,2930108,3020419,3111284,3203035,3296092,3390941,3487658,3586516,3688411,3794457,3905443,4020818,4140297,4265278,4397563,4537820,4687328,4843997,5001172,5149872,5283811,5400636,5502490,5593317,5679169,5764806,5851354,5938404,6027395,6119664,6216329,6318510,6426861,6541550,6662391,6789318,6922590,7062667,7209924,7364752,7527397,7697507,7874838,8059782,8252828,8454019,8663575,8880270,9100847,9321023,9537642
Thailand,764,Asia - SouthEastern,20710353,21263460,21838302,22436798,23060601,23711122,24389546,25096799,25833567,26600323,27397208,28224186,29080945,29966873,30881136,31822656,32789129,33778804,34791418,35827089,36884525,37963280,39058594,40159581,41252320,42326307,43377270,44405903,45413082,46401750,47374463,48326269,49255889,50173922,51094870,52026901,52980105,53945872,54891520,55772169,56558196,57232471,57811025,58337773,58875275,59467272,60130190,60846588,61585103,62298569,62952639,63539190,64069093,64549867,64995303,65416189,65812540,66182064,66530980,66866834,67195032,67518379,67835969,68144519,68438748,68714519,68971313,69209817,69428454,69625581,69799978
Timor-Leste,626,Asia - SouthEastern,414754,418684,423120,428047,433416,439223,445444,452083,459150,466620,474535,482852,491575,500652,510035,519676,529328,538906,548817,559620,571565,585250,600185,614264,624561,629227,627255,619817,610048,602363,599907,603837,613233,626677,641845,657061,671747,686475,701812,718736,737814,759526,783204,806867,827828,844333,855358,861870,866523,873138,884366,901214,922699,947110,971889,995130,1016437,1036388,1055428,1074286,1093517,1113154,1133002,1153288,1174333,1196294,1219289,1243260,1267975,1293120,1318442
Togo,768,Africa - Western,1395451,1425484,1441915,1452089,1461523,1473835,1490723,1512019,1535971,1559682,1580508,1597523,1612761,1631758,1662073,1708631,1774020,1855450,1945777,2034902,2115522,2185667,2247578,2303344,2356620,2410451,2464424,2518454,2576293,2642693,2720835,2812312,2915618,3026980,3140840,3252997,3363040,3471738,3577469,3678567,3774310,3862998,3945902,4029044,4120615,4226293,4348808,4485945,4632451,4780455,4924406,5062571,5197040,5330629,5467770,5611643,5762881,5920360,6083417,6250840,6421674,6595939,6773807,6954721,7137997,7323162,7509952,7698476,7889095,8082359,8278737
Tokelau,772,Oceania - Polynesia,1572,1509,1499,1520,1553,1602,1668,1723,1776,1820,1871,1916,1936,1953,1949,1927,1883,1816,1740,1674,1623,1587,1575,1571,1573,1570,1564,1548,1542,1539,1543,1583,1611,1655,1689,1714,1709,1686,1663,1630,1604,1575,1558,1537,1524,1507,1522,1547,1569,1574,1550,1506,1438,1348,1265,1213,1165,1143,1134,1126,1129,1138,1163,1191,1217,1247,1276,1297,1318,1330,1350
Tonga,776,Oceania - Polynesia,47217,49310,51181,52789,54151,55323,56365,57372,58485,59846,61574,63721,66233,68975,71744,74348,76774,79034,81076,82861,84344,85492,86327,86958,87584,88321,89228,90259,91336,92271,92966,93415,93636,93736,93793,93896,94081,94318,94592,94848,95069,95243,95398,95556,95739,95972,96267,96621,97036,97475,97962,98482,99023,99591,100214,100908,101714,102577,103384,103897,103981,103558,102736,101768,101023,100780,101143,102002,103199,104497,105697
Trinidad and Tobago,780,America - Caribbean,645626,658754,675583,695247,716879,739703,762977,786024,808219,829025,847973,864814,879436,891948,902620,911742,919218,925233,930792,937184,945357,955753,968136,982006,996479,1010934,1025104,1039210,1053560,1068644,1084743,1101983,1120019,1138071,1155083,1170296,1183382,1194532,1204150,1212858,1221121,1229108,1236685,1243605,1249527,1254200,1257547,1259838,1261699,1263927,1267159,1271627,1277210,1283564,1290115,1296497,1302552,1308450,1314449,1320921,1328144,1336180,1344814,1353708,1362337,1370332,1377563,1384060,1389841,1394969,1399491
Tunisia,788,Africa - Northern,3605312,3696163,3772929,3838091,3894120,3943544,3988865,4032593,4077211,4125078,4178235,4238141,4305477,4380074,4461111,4547941,4640995,4740526,4845220,4953379,5063805,5176290,5291335,5409338,5530978,5656912,5786482,5919958,6060158,6210756,6374040,6551232,6740520,6937332,7135265,7329590,7517854,7700733,7880333,8060211,8242509,8427851,8613855,8795934,8967916,9125400,9267335,9395119,9509862,9613587,9708347,9793915,9871261,9945282,10022278,10106778,10201211,10304729,10414425,10525691,10635245,10741872,10846993,10952949,11063195,11179951,11303942,11433438,11565203,11694721,11818618
Turkey,792,Asia - Western,21408398,21951203,22508952,23081587,23668910,24270599,24886127,25514825,26155927,26808633,27472339,28146909,28832831,29531362,30244258,30972996,31717504,32477994,33256465,34055391,34876296,35720603,36587267,37472329,38370278,39277249,40189561,41108290,42039983,42994043,43975972,44988411,46025411,47073470,48114158,49133928,50128548,51100930,52053764,52992479,53921758,54840595,55748946,56653808,57564209,58486453,59423278,60372571,61329665,62287391,63240196,64192243,65145357,66089402,67010930,67903461,68756809,69581854,70418612,71321406,72326992,73443254,74651046,75925454,77229262,78529413,79827868,81116451,82340090,83429607,84339067
Turkmenistan,795,Asia - Central,1210998,1231825,1258381,1289831,1325430,1364638,1406988,1452178,1500013,1550416,1603254,1658364,1715408,1773854,1833065,1892596,1952144,2011762,2071793,2132800,2195165,2258965,2324019,2390212,2457379,2525374,2594315,2664262,2734899,2805817,2876809,2947783,3019064,3091510,3166215,3244024,3324462,3407310,3493892,3585867,3683978,3789188,3899843,4010789,4115105,4207841,4287337,4355125,4413477,4466133,4516128,4564087,4610018,4655752,4703396,4754652,4810114,4870142,4935765,5007953,5087211,5174076,5267906,5366376,5466324,5565283,5662371,5757667,5850902,5942094,6031187
Turks and Caicos Islands,796,America - Caribbean,5044,5001,4982,5037,5131,5247,5380,5504,5641,5748,5825,5867,5884,5870,5851,5814,5783,5766,5746,5765,5837,5973,6156,6380,6610,6832,7020,7193,7380,7607,7894,8243,8654,9096,9556,9974,10365,10717,11091,11550,12115,12815,13639,14526,15399,16221,16930,17566,18228,19069,20171,21578,23230,25008,26709,28181,29394,30383,31200,31933,32658,33371,34067,34733,35371,35979,36558,37116,37667,38194,38718
Tuvalu,798,Oceania - Polynesia,4676,4784,4872,4940,5013,5072,5139,5194,5236,5285,5321,5330,5340,5341,5354,5388,5435,5510,5598,5671,5740,5770,5786,5819,5903,6064,6319,6650,7018,7357,7631,7825,7951,8041,8110,8211,8341,8481,8637,8787,8910,9014,9110,9194,9259,9298,9317,9328,9332,9344,9392,9478,9593,9724,9871,9997,10118,10219,10315,10413,10521,10626,10744,10849,10973,11099,11232,11365,11505,11655,11792
Uganda,800,Africa - Eastern,5158191,5307724,5452857,5596323,5740774,5888791,6042926,6205620,6379221,6565839,6767092,6983824,7215799,7461636,7719108,7986062,8263434,8550444,8841156,9127855,9405606,9671856,9929644,10186452,10453029,10737403,11042975,11368618,11712540,12071140,12442333,12825084,13221991,13638729,14082870,14559357,15070319,15612754,16180129,16763041,17354395,17953534,18561668,19175986,19793541,20413157,21032817,21655392,22290787,22952406,23650159,24388974,25167261,25980547,26821300,27684590,28571475,29486335,30431734,31411096,32428164,33476772,34558700,35694519,36911530,38225447,39649173,41166588,42729032,44269587,45741000
Ukraine,804,Europe - Eastern,37297640,37815540,38360078,38915814,39471403,40019483,40557034,41085019,41607893,42132440,42664646,43206353,43752227,44288607,44796959,45264552,45684983,46063219,46411816,46749289,47088862,47435008,47783006,48125829,48452623,48755662,49032729,49287118,49523304,49747998,49965872,50176399,50377069,50568025,50749176,50919275,51077457,51219911,51338392,51422338,51463101,51461273,51415957,51316013,51147771,50903783,50580467,50187280,49746523,49288739,48838058,48401648,47980033,47582463,47217489,46890775,46607397,46366347,46158709,45970942,45792086,45619850,45453805,45286988,45111530,44921636,44713708,44487708,44246158,43993643,43733759
United Arab Emirates,784,Asia - Western,69594,67466,69235,72771,76523,79579,81624,82963,84420,87188,92417,100801,112112,125130,138049,149855,159979,169768,182620,203103,234512,277463,330968,394625,467457,548295,637926,735347,835498,931752,1019507,1096602,1164816,1228457,1293970,1366165,1446386,1533526,1627068,1725676,1828437,1937159,2052892,2173135,2294377,2415099,2539121,2671361,2813214,2966029,3134067,3302722,3478769,3711931,4068577,4588222,5300172,6168846,7089486,7917368,8549998,8946778,9141598,9197908,9214182,9262896,9360975,9487206,9630966,9770526,9890400
United Kingdom,826,Europe - Northern,50616019,50601926,50651273,50750980,50890911,51063907,51265885,51495703,51754668,52045664,52370595,52727763,53109400,53500721,53882751,54240855,54568868,54866529,55132603,55367950,55573455,55748534,55892412,56006290,56092059,56152325,56188348,56203598,56205910,56205087,56209164,56220739,56241408,56276791,56332902,56413555,56522505,56658260,56812754,56974289,57134377,57290792,57446041,57602279,57763382,57932450,58113554,58307320,58509972,58715859,58923305,59124277,59326294,59561429,59872760,60287953,60821349,61455154,62145098,62828620,63459801,64021922,64525300,64984015,65423048,65860149,66297944,66727463,67141678,67530161,67886004
United Republic of Tanzania,834,Africa - Eastern,7649765,7844891,8050984,8267417,8493750,8729667,8974994,9229733,9493994,9768035,10052151,10346695,10651954,10968196,11295675,11634837,11985442,12348188,12725519,13120587,13535487,13971698,14428340,14902271,15388933,15885228,16390161,16905222,17432756,17976219,18538263,19120683,19723317,20344550,20981775,21633799,22296282,22971208,23670807,24411744,25203848,26056605,26961204,27887204,28792649,29649128,30444523,31192853,31924201,32682240,33499177,34385849,35334790,36337778,37379766,38450323,39548666,40681416,41853944,43073830,44346532,45673520,47053033,48483132,49960563,51482638,53049231,54660345,56313444,58005461,59734213
United States of America,840,America - Northern,158804397,160872264,163266026,165909996,168736390,171685337,174705006,177751477,180788387,183786249,186720570,189569850,192313747,194932400,197408497,199733679,201895760,203905081,205805756,207659274,209513340,211384079,213269805,215178797,217114898,219081250,221086427,223135659,225223307,227339321,229476360,231636065,233821851,236030236,238256849,240499822,242763137,245052780,247372258,249725809,252120309,254539371,256990608,259532130,262241204,265163741,268335008,271713634,275175309,278548148,281710914,284607992,287279312,289815567,292354663,294993509,297758977,300608425,303486022,306307565,309011469,311584051,314043885,316400539,318673422,320878312,323015992,325084758,327096263,329064917,331002647
United States Virgin Islands,850,America - Caribbean,26792,27371,28119,28812,29351,29669,29862,30060,30488,31433,33137,35718,39070,42891,46732,50226,53249,55917,58467,61324,64723,68766,73280,77981,82476,86470,89849,92688,95067,97171,99089,100870,102474,103818,104779,105279,105293,104889,104315,103856,103755,104088,104795,105730,106642,107388,107939,108313,108551,108675,108730,108689,108556,108354,108100,107801,107466,107118,106753,106416,106086,105794,105524,105304,105107,104950,104829,104745,104672,104579,104423
Uruguay,858,America - South,2238501,2261340,2286261,2313211,2342041,2372564,2404491,2437496,2471144,2505007,2538648,2571682,2603883,2635125,2665383,2694537,2722871,2750091,2774761,2795037,2809799,2818283,2821458,2822112,2824095,2830172,2841371,2856958,2875724,2895683,2915389,2934624,2953852,2973048,2992250,3011519,3030651,3049581,3068714,3088603,3109598,3131657,3154459,3177734,3201149,3224275,3247383,3270158,3291053,3308005,3319734,3325471,3326046,3323661,3321486,3321799,3325403,3331753,3340221,3349676,3359273,3368926,3378975,3389436,3400439,3412013,3424139,3436645,3449290,3461731,3473727
Uzbekistan,860,Asia - Central,6264058,6470057,6667892,6864761,7066455,7277336,7500307,7736860,7987252,8250719,8526299,8813619,9113629,9428906,9762819,10116870,10493441,10889499,11294666,11694843,12080311,12446444,12796982,13140797,13491114,13857469,14242766,14643881,15057226,15476928,15898760,16321692,16747428,17177663,17615037,18061283,18515579,18976411,19443890,19918119,20398347,20884862,21375114,21861974,22336202,22791033,23225303,23640487,24036017,24412051,24769955,25108554,25431116,25749109,26077614,26427785,26804067,27204711,27626981,28065469,28515908,28977006,29449415,29932630,30426394,30929556,31441753,31959774,32476232,32981715,33469199
Vanuatu,548,Oceania - Melanesia,47696,48919,50291,51766,53312,54921,56557,58242,59980,61792,63689,65700,67793,69944,72116,74268,76392,78505,80653,82920,85374,88012,90802,93749,96773,99863,103002,106206,109397,112543,115598,118546,121398,124213,127058,129989,132988,136075,139319,142801,146575,150718,155176,159743,164128,168161,171721,174917,177987,181259,184964,189209,193927,198960,204123,209282,214379,219464,224700,230244,236216,242658,249505,256637,263888,271128,278326,285499,292675,299882,307150
Venezuela (Bolivarian Republic of),862,America - South,5481976,5726610,5974437,6226290,6482858,6744704,7012177,7285566,7564987,7850420,8141839,8439261,8742780,9052632,9369101,9692281,10022592,10359741,10702281,11048256,11396396,11745952,12097696,12453709,12816954,13189511,13572210,13964377,14364726,14771270,15182616,15597878,16017570,16443128,16876703,17319513,17772000,18232733,18698850,19166474,19632665,20096314,20557694,21016900,21474553,21931087,22385650,22837743,23288567,23739835,24192449,24646471,25100407,25551624,25996594,26432445,26850190,27247601,27635827,28031010,28439942,28887873,29360827,29781046,30042973,30081827,29851249,29402480,28887117,28515829,28435943
Viet Nam,704,Asia - SouthEastern,24809909,25364522,25976851,26646077,27370469,28147442,28973439,29844053,30754086,31697900,32670048,33666111,34683410,35721213,36780001,37858947,38958046,40072951,41193588,42307149,43404802,44484032,45548476,46603522,47657554,48718190,49785278,50861166,51959021,53095406,54281841,55522804,56814309,58148384,59512619,60896732,62293859,63701974,65120432,66550231,67988855,69436956,70883488,72300308,73651220,74910462,76068739,77133212,78115712,79035871,79910411,80742500,81534406,82301650,83062819,83832662,84617545,85419588,86243424,87092250,87967655,88871384,89801926,90752593,91713850,92677082,93640435,94600643,95545959,96462108,97338583
Wallis and Futuna Islands,876,Oceania - Polynesia,6994,7132,7274,7417,7546,7666,7777,7871,7962,8059,8148,8277,8399,8531,8632,8713,8770,8805,8817,8836,8859,8886,8924,8995,9125,9320,9587,9918,10312,10752,11234,11754,12298,12838,13289,13625,13810,13873,13848,13808,13794,13823,13873,13955,14056,14147,14255,14351,14463,14580,14697,14835,14991,15098,15097,14937,14607,14128,13576,13071,12686,12463,12369,12353,12338,12262,12098,11894,11653,11436,11246
Western Sahara,732,Africa - Northern,13763,16054,17575,18727,19829,21149,22802,24841,27240,29913,32757,35725,38854,42310,46310,50967,56630,63119,69479,74338,76880,76371,73477,70399,70205,74953,85607,101182,119326,136703,150860,161059,168057,172902,177269,182419,188600,195439,202717,210071,217258,224391,231731,239334,247259,255635,264106,272843,283072,296508,314116,336647,363225,391177,416804,437516,452357,462210,468630,474045,480268,487654,495773,504858,514984,526211,538744,552617,567396,582458,597330
Yemen,887,Asia - Western,4661279,4717141,4776184,4837606,4900843,4965567,5031695,5099348,5168870,5240716,5315351,5393034,5473671,5556767,5641598,5727745,5816241,5907873,6001858,6097042,6193379,6290367,6390573,6500809,6630003,6784699,6967944,7178672,7414167,7669699,7941903,8231905,8541605,8869363,9213078,9572170,9941102,10322044,10730864,11189185,11709987,12302127,12954157,13634082,14297617,14913313,15469274,15975676,16450306,16921157,17409071,17918369,18443684,18985001,19540096,20107416,20687648,21282514,21892149,22516464,23154854,23807586,24473176,25147112,25823488,26497881,27168210,27834811,28498683,29161922,29825968
Zambia,894,Africa - Eastern,2310436,2368607,2431341,2498457,2569747,2644976,2723867,2806165,2891580,2979844,3070780,3164330,3260645,3360099,3463211,3570466,3681953,3797877,3918872,4045740,4179062,4319226,4466170,4619549,4778716,4943279,5112823,5287544,5468259,5656145,5851818,6055361,6265869,6481907,6701547,6923148,7146965,7372835,7598270,7820199,8036849,8246662,8451346,8656484,8869745,9096608,9339740,9597610,9866474,10140564,10415942,10692197,10971704,11256740,11550641,11856244,12173518,12502958,12848531,13215142,13605986,14023199,14465148,14926551,15399793,15879370,16363449,16853608,17351714,17861034,18383956
Zimbabwe,716,Africa - Eastern,2746852,2832248,2922040,3015662,3112775,3213289,3317282,3425070,3537167,3654172,3776679,3905038,4039209,4178726,4322854,4471178,4623340,4779825,4941901,5111326,5289312,5476978,5673914,5877725,6085078,6293875,6502566,6712825,6929663,7160021,7408630,7675582,7958239,8254746,8562259,8877489,9200150,9527202,9849129,10153852,10432409,10681008,10900511,11092775,11261752,11410721,11541215,11653254,11747079,11822722,11881482,11923906,11954293,11982219,12019911,12076697,12155496,12255920,12379553,12526964,12697728,12894323,13115149,13350378,13586710,13814642,14030338,14236599,14438812,14645473,14862927
